fecha,TmaxC,TminC,Lluvia
1995-07-01,NA,NA,0
1995-07-01,NA,NA,0
1995-07-02,NA,NA,0
1995-07-03,NA,NA,0
1995-07-04,NA,NA,0
1995-07-05,NA,NA,0
1995-07-06,NA,NA,21.6
1995-07-07,NA,NA,0
1995-07-08,NA,NA,0
1995-07-09,NA,NA,0
1995-07-10,NA,NA,0
1995-07-11,NA,NA,0
1995-07-12,NA,NA,13
1995-07-13,NA,NA,0
1995-07-14,NA,NA,0
1995-07-15,NA,NA,0
1995-07-16,NA,NA,0.8
1995-07-17,NA,NA,0
1995-07-18,NA,NA,0.8
1995-07-19,NA,NA,1.4
1995-07-20,NA,NA,0
1995-07-21,NA,NA,0
1995-07-22,NA,NA,0
1995-07-23,NA,NA,0
1995-07-24,NA,NA,0
1995-07-25,NA,NA,9.1
1995-07-26,NA,NA,2.2
1995-07-27,NA,NA,2.7
1995-07-28,NA,NA,15.7
1995-07-29,NA,NA,6.2
1995-07-30,NA,NA,1.5
1995-07-31,NA,NA,13.5
1995-08-01,NA,NA,9.8
1995-08-01,NA,NA,NA
1995-08-02,NA,NA,60.5
1995-08-03,NA,NA,27.9
1995-08-04,NA,NA,0
1995-08-05,NA,NA,0.5
1995-08-06,NA,NA,5.5
1995-08-07,NA,NA,19.1
1995-08-08,NA,NA,0
1995-08-09,NA,NA,0
1995-08-10,NA,NA,0
1995-08-11,NA,NA,18
1995-08-12,NA,NA,0
1995-08-13,NA,NA,0
1995-08-14,NA,NA,55.8
1995-08-15,NA,NA,33.3
1995-08-16,NA,NA,12.8
1995-08-17,NA,NA,18.5
1995-08-18,NA,NA,65.7
1995-08-19,NA,NA,0
1995-08-20,NA,NA,8.8
1995-08-21,NA,NA,0
1995-08-22,NA,NA,14.3
1995-08-23,NA,NA,3.4
1995-08-24,NA,NA,2.2
1995-08-25,NA,NA,0
1995-08-26,NA,NA,7.6
1995-08-27,NA,NA,28.5
1995-08-28,NA,NA,9.3
1995-08-29,NA,NA,10.5
1995-08-30,NA,NA,9.1
1995-08-31,NA,NA,0
1995-09-01,NA,NA,4.4
1995-09-01,NA,NA,4.4
1995-09-02,NA,NA,24
1995-09-03,NA,NA,0
1995-09-04,NA,NA,0
1995-09-05,NA,NA,0
